Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Stn Press (kPa),Hour
2019,11,4,10.2,0.9,52.0,0.0,100.19,12
2019,11,4,10.8,0.6,49.0,0.0,100.1,13
2019,11,4,10.8,1.5,53.0,0.0,100.03,14
2019,11,4,10.7,1.1,51.0,0.0,100.02,15
2019,11,4,10.9,1.2,51.0,0.0,99.99,16
2019,11,4,10.7,1.9,54.0,0.0,100.0,17
2019,11,4,10.8,2.7,58.0,0.0,100.05,18
2019,11,4,10.9,3.1,58.0,0.0,100.13,19
2019,11,4,10.6,3.4,61.0,0.0,100.09,20
2019,11,4,10.4,3.9,64.0,0.0,100.1,21
2019,11,4,9.7,4.1,68.0,0.0,100.13,22
2019,11,4,10.8,4.5,65.0,0.0,100.13,23
2019,11,5,10.8,4.3,64.0,0.0,100.15,0
2019,11,5,10.1,4.3,67.0,0.0,100.16,1
2019,11,5,9.3,3.5,67.0,0.0,100.17,2
2019,11,5,9.5,3.5,66.0,0.0,100.18,3
2019,11,5,9.1,2.6,64.0,0.0,100.2,4
2019,11,5,8.5,2.0,64.0,0.0,100.21,5
2019,11,5,8.4,2.5,67.0,0.0,100.24,6
2019,11,5,8.0,1.2,62.0,0.0,100.27,7
2019,11,5,7.7,-0.9,54.0,0.0,100.34,8
2019,11,5,7.0,-0.7,58.0,0.0,100.43,9
2019,11,5,6.7,-0.9,58.0,0.0,100.45,10
2019,11,5,7.0,-1.4,55.0,0.0,100.5,11
2019,11,5,8.0,-2.4,48.0,0.0,100.49,12
2019,11,5,8.3,-7.0,33.0,0.0,100.48,13
2019,11,5,8.0,-5.0,39.0,0.0,100.51,14
2019,11,5,7.7,-4.3,42.0,0.0,100.49,15
2019,11,5,7.5,-4.0,44.0,0.0,100.58,16
2019,11,5,6.8,-3.5,48.0,0.0,100.67,17
2019,11,5,6.4,-5.8,41.0,0.0,100.75,18
2019,11,5,5.9,-6.9,39.0,0.0,100.82,19
2019,11,5,5.3,-6.4,42.0,0.0,100.83,20
2019,11,5,5.0,-5.7,46.0,0.0,100.86,21
2019,11,5,4.8,-5.5,47.0,0.0,100.89,22
2019,11,5,3.3,-5.0,55.0,0.0,100.91,23
2019,11,6,3.5,-3.3,61.0,0.0,100.92,0
2019,11,6,3.1,-4.7,57.0,0.0,100.93,1
2019,11,6,2.9,-3.7,62.0,0.0,101.0,2
2019,11,6,2.0,-6.7,52.0,0.0,101.04,3
2019,11,6,1.1,-6.6,56.0,0.0,101.17,4
2019,11,6,0.6,-7.0,57.0,0.0,101.27,5
2019,11,6,0.3,-7.5,56.0,0.0,101.31,6
2019,11,6,0.2,-7.3,57.0,0.0,101.41,7
2019,11,6,0.0,-7.1,59.0,0.0,101.46,8
2019,11,6,1.3,-7.1,53.0,0.0,101.51,9
2019,11,6,2.9,-6.7,49.0,0.0,101.52,10
2019,11,6,3.6,-6.6,47.0,0.0,101.47,11
2019,11,6,4.2,-6.9,44.0,0.0,101.42,12
2019,11,6,4.4,-5.8,48.0,0.0,101.31,13
2019,11,6,4.5,-6.2,46.0,0.0,101.23,14
2019,11,6,4.6,-7.2,42.0,0.0,101.24,15
2019,11,6,4.6,-6.0,46.0,0.0,101.16,16
2019,11,6,3.9,-3.6,58.0,0.0,101.14,17
2019,11,6,3.5,-1.3,71.0,0.0,101.07,18
2019,11,6,3.5,-0.4,76.0,0.0,101.01,19
2019,11,6,3.8,0.7,80.0,0.0,100.96,20
2019,11,6,4.2,1.2,81.0,0.2,100.91,21
2019,11,6,4.3,1.4,81.0,0.0,100.91,22
2019,11,6,4.7,1.3,79.0,0.0,100.84,23
2019,11,7,4.2,0.9,79.0,0.0,100.79,0
2019,11,7,2.9,0.4,84.0,0.3,100.81,1
2019,11,7,2.3,0.4,87.0,0.6,100.77,2
2019,11,7,1.3,-0.3,89.0,0.7,100.78,3
2019,11,7,1.4,0.0,90.0,0.6,100.76,4
2019,11,7,1.4,-0.4,88.0,0.2,100.81,5
2019,11,7,0.6,-1.1,88.0,1.4,100.85,6
2019,11,7,0.6,-1.4,87.0,0.3,100.91,7
2019,11,7,-0.2,-2.6,84.0,0.2,100.96,8
2019,11,7,0.0,-2.4,84.0,0.0,100.99,9
2019,11,7,0.2,-2.7,81.0,0.0,100.98,10
2019,11,7,1.0,-3.6,71.0,0.0,100.99,11
2019,11,7,1.5,-4.2,66.0,0.0,100.91,12
2019,11,7,1.0,-5.4,62.0,0.0,100.86,13
2019,11,7,1.3,-5.5,61.0,0.0,100.79,14
2019,11,7,1.2,-5.5,61.0,0.0,100.73,15
2019,11,7,1.4,-3.9,68.0,0.0,100.74,16
2019,11,7,1.3,-3.5,70.0,0.0,100.75,17
2019,11,7,1.7,-3.2,70.0,0.0,100.8,18
2019,11,7,0.1,-3.2,78.0,0.0,100.86,19
2019,11,7,0.0,-4.1,74.0,0.0,100.87,20
2019,11,7,0.0,-5.0,69.0,0.0,100.86,21
2019,11,7,-0.7,-5.8,68.0,0.2,100.87,22
2019,11,7,-1.1,-5.7,71.0,0.0,100.86,23
2019,11,8,-1.4,-5.4,74.0,0.0,100.86,0
2019,11,8,-2.2,-7.2,68.0,0.0,100.89,1
2019,11,8,-2.2,-7.9,65.0,0.0,100.93,2
2019,11,8,-2.6,-7.0,72.0,0.0,100.97,3
2019,11,8,-3.1,-7.8,70.0,0.0,101.01,4
2019,11,8,-3.7,-9.4,65.0,0.0,101.06,5
2019,11,8,-4.2,-10.2,63.0,0.0,101.13,6
2019,11,8,-4.3,-10.6,62.0,0.0,101.2,7
2019,11,8,-4.0,-10.5,60.0,0.0,101.3,8
2019,11,8,-2.9,-11.0,54.0,0.0,101.35,9
2019,11,8,-2.4,-10.3,54.0,0.0,101.37,10
2019,11,8,-1.9,-10.6,52.0,0.0,101.4,11
2019,11,8,-1.0,-9.1,54.0,0.0,101.36,12
2019,11,8,-0.3,-9.6,49.0,0.0,101.29,13
2019,11,8,0.0,-9.0,50.0,0.0,101.26,14
2019,11,8,0.0,-8.9,51.0,0.0,101.25,15
2019,11,8,0.1,-9.2,49.0,0.0,101.23,16
2019,11,8,-0.2,-8.9,52.0,0.0,101.23,17
2019,11,8,-0.5,-8.5,55.0,0.0,101.25,18
2019,11,8,-0.4,-8.6,54.0,0.0,101.28,19
2019,11,8,-0.8,-8.2,57.0,0.0,101.26,20
2019,11,8,-1.1,-7.7,60.0,0.0,101.24,21
2019,11,8,-1.5,-7.9,62.0,0.0,101.2,22
2019,11,8,-1.6,-7.2,66.0,0.0,101.12,23
2019,11,9,-1.9,-7.0,68.0,0.0,101.11,0
2019,11,9,-2.5,-7.1,71.0,0.0,101.05,1
2019,11,9,-1.5,-6.9,66.0,0.0,101.0,2
2019,11,9,-0.8,-7.1,62.0,0.0,100.94,3
2019,11,9,-0.7,-6.5,65.0,0.0,100.87,4
2019,11,9,-0.3,-5.5,68.0,0.0,100.82,5
2019,11,9,0.1,-4.8,70.0,0.0,100.75,6
2019,11,9,0.8,-6.8,57.0,0.0,100.71,7
2019,11,9,1.3,-8.5,48.0,0.0,100.69,8
2019,11,9,1.3,-7.9,50.0,0.0,100.62,9
2019,11,9,1.6,-6.9,53.0,0.0,100.52,10
2019,11,9,2.0,-5.1,60.0,0.0,100.48,11
2019,11,9,2.4,-4.5,61.0,0.0,100.34,12
2019,11,9,3.0,-3.5,62.0,0.0,100.2,13
2019,11,9,3.6,-4.3,56.0,0.0,100.15,14
2019,11,9,3.6,-4.6,55.0,0.0,100.11,15
2019,11,9,3.7,-4.1,57.0,0.0,100.08,16
2019,11,9,3.8,-3.8,58.0,0.0,100.08,17
2019,11,9,4.0,-3.0,60.0,0.0,100.08,18
2019,11,9,4.2,-3.0,59.0,0.0,100.06,19
2019,11,9,4.3,-2.4,62.0,0.0,100.05,20
2019,11,9,4.3,-3.1,59.0,0.0,100.04,21
2019,11,9,4.1,-3.2,59.0,0.0,100.04,22
2019,11,9,3.9,-3.2,60.0,0.0,99.98,23
2019,11,10,3.4,-3.3,61.0,0.0,99.95,0
2019,11,10,3.2,-2.8,65.0,0.0,99.86,1
2019,11,10,3.1,-2.5,66.0,0.0,99.83,2
2019,11,10,3.7,-1.7,68.0,0.0,99.76,3
2019,11,10,4.1,-1.2,69.0,0.0,99.75,4
2019,11,10,4.1,-2.0,65.0,0.0,99.7,5
2019,11,10,4.6,-1.6,64.0,0.0,99.68,6
2019,11,10,4.8,-1.7,63.0,0.0,99.71,7
2019,11,10,4.8,-2.1,61.0,0.0,99.76,8
2019,11,10,5.2,-1.6,62.0,0.0,99.8,9
2019,11,10,6.0,-1.1,60.0,0.0,99.82,10
2019,11,10,6.8,0.0,62.0,0.0,99.85,11
2019,11,10,7.3,0.4,62.0,0.0,99.82,12
2019,11,10,7.3,0.0,60.0,0.0,99.84,13
2019,11,10,7.4,0.3,61.0,0.0,99.9,14
2019,11,10,6.6,0.6,66.0,0.0,99.92,15
2019,11,10,5.2,1.8,78.0,0.0,100.03,16
2019,11,10,5.5,0.4,70.0,0.0,100.1,17
2019,11,10,5.5,0.3,69.0,0.0,100.18,18
2019,11,10,4.2,-1.1,69.0,0.0,100.25,19
2019,11,10,4.2,-1.0,69.0,0.0,100.28,20
2019,11,10,3.3,-1.0,73.0,0.0,100.36,21
2019,11,10,1.9,-1.7,77.0,0.0,100.42,22
2019,11,10,0.9,-2.4,78.0,0.0,100.5,23
2019,11,11,0.5,-2.5,80.0,0.0,100.53,0
2019,11,11,-0.1,-3.8,76.0,0.2,100.6,1
2019,11,11,0.0,-4.9,69.0,0.0,100.63,2
2019,11,11,-0.6,-6.0,67.0,0.0,100.69,3
2019,11,11,-0.7,-8.2,57.0,0.0,100.73,4
2019,11,11,-0.7,-8.8,54.0,0.0,100.76,5
2019,11,11,-0.6,-9.5,51.0,0.2,100.79,6
2019,11,11,-0.7,-8.6,55.0,0.0,100.82,7
2019,11,11,-1.2,-6.6,67.0,0.0,100.92,8
2019,11,11,-1.7,-4.8,80.0,0.0,100.96,9
2019,11,11,-2.0,-4.2,85.0,0.5,100.95,10
2019,11,11,-2.0,-4.2,85.0,1.0,100.85,11
2019,11,11,-2.2,-4.4,85.0,0.8,100.82,12
2019,11,11,-2.5,-4.7,85.0,0.6,100.71,13
2019,11,11,-2.9,-4.9,87.0,1.2,100.68,14
2019,11,11,-3.2,-5.4,85.0,0.8,100.69,15
2019,11,11,-3.9,-6.4,83.0,0.3,100.67,16
2019,11,11,-4.4,-6.5,85.0,0.8,100.58,17
2019,11,11,-4.4,-6.3,87.0,0.8,100.57,18
2019,11,11,-5.0,-7.0,86.0,0.7,100.52,19
2019,11,11,-5.0,-6.9,87.0,0.7,100.52,20
2019,11,11,-5.6,-7.3,88.0,1.2,100.46,21
2019,11,11,-5.5,-7.2,88.0,1.0,100.45,22
2019,11,11,-5.8,-7.6,88.0,1.2,100.4,23
2019,11,12,-5.9,-7.6,88.0,1.2,100.36,0
2019,11,12,-6.1,-7.8,87.0,1.0,100.35,1
2019,11,12,-6.1,-8.8,81.0,0.0,100.35,2
2019,11,12,-5.9,-9.7,74.0,0.0,100.38,3
2019,11,12,-5.9,-8.9,79.0,0.0,100.4,4
2019,11,12,-6.1,-9.4,77.0,0.2,100.45,5
2019,11,12,-6.4,-10.1,75.0,0.0,100.49,6
2019,11,12,-6.9,-10.9,73.0,0.0,100.53,7
2019,11,12,-7.3,-11.6,71.0,0.0,100.65,8
2019,11,12,-7.2,-11.6,71.0,0.0,100.72,9
2019,11,12,-7.5,-13.4,63.0,0.0,100.77,10
2019,11,12,-6.6,-12.5,63.0,0.0,100.79,11
2019,11,12,-5.7,-12.8,57.0,0.0,100.77,12
2019,11,12,-5.1,-14.5,48.0,0.0,100.76,13
2019,11,12,-4.3,-12.2,54.0,0.0,100.77,14
2019,11,12,-5.0,-13.6,51.0,0.0,100.83,15
2019,11,12,-4.7,-17.2,37.0,0.0,100.86,16
2019,11,12,-5.8,-17.0,41.0,0.0,100.92,17
2019,11,12,-6.6,-15.1,51.0,0.0,100.96,18
2019,11,12,-6.8,-13.3,60.0,0.0,100.99,19
2019,11,12,-7.0,-12.1,67.0,0.0,101.0,20
2019,11,12,-7.1,-11.0,74.0,0.0,101.01,21
2019,11,12,-7.2,-11.2,73.0,0.0,101.01,22
2019,11,12,-7.5,-11.5,73.0,0.0,101.03,23
2019,11,13,-7.8,-12.0,72.0,0.0,101.07,0
2019,11,13,-8.6,-12.8,72.0,0.0,101.1,1
2019,11,13,-9.3,-13.3,73.0,0.0,101.17,2
2019,11,13,-10.0,-13.5,75.0,0.0,101.21,3
2019,11,13,-10.6,-14.8,71.0,0.0,101.26,4
2019,11,13,-10.8,-15.4,69.0,0.0,101.32,5
2019,11,13,-11.1,-15.7,69.0,0.0,101.38,6
2019,11,13,-11.0,-15.3,71.0,0.0,101.41,7
2019,11,13,-10.3,-14.6,71.0,0.0,101.44,8
2019,11,13,-9.3,-14.3,67.0,0.0,101.51,9
2019,11,13,-7.5,-13.6,62.0,0.0,101.52,10
2019,11,13,-5.8,-12.7,58.0,0.0,101.51,11
2019,11,13,-5.0,-11.6,60.0,0.0,101.51,12
2019,11,13,-4.7,-10.2,65.0,0.0,101.47,13
2019,11,13,-4.4,-9.8,66.0,0.0,101.43,14
2019,11,13,-3.9,-8.5,70.0,0.0,101.37,15
2019,11,13,-3.8,-7.3,77.0,0.0,101.31,16
2019,11,13,-3.3,-7.2,75.0,0.0,101.22,17
2019,11,13,-3.2,-7.4,73.0,0.0,101.16,18
2019,11,13,-3.1,-5.7,82.0,0.3,101.12,19
2019,11,13,-2.7,-5.1,84.0,0.2,101.09,20
2019,11,13,-2.8,-4.7,87.0,0.7,101.03,21
2019,11,13,-1.3,-4.7,78.0,0.0,100.97,22
2019,11,13,-0.3,-6.5,63.0,0.0,100.89,23
2019,11,14,0.0,-6.5,62.0,0.0,100.84,0
2019,11,14,0.0,-6.6,61.0,0.0,100.78,1
2019,11,14,0.1,-6.7,60.0,0.0,100.74,2
2019,11,14,0.0,-6.4,62.0,0.0,100.68,3
2019,11,14,0.4,-5.8,63.0,0.0,100.62,4
2019,11,14,0.5,-4.8,67.0,0.0,100.57,5
2019,11,14,0.7,-3.7,72.0,0.0,100.58,6
2019,11,14,-0.3,-4.3,74.0,0.2,100.62,7
2019,11,14,-0.9,-5.1,73.0,0.0,100.67,8
2019,11,14,-1.2,-5.3,73.0,0.2,100.71,9
2019,11,14,-1.5,-4.6,79.0,0.2,100.72,10
2019,11,14,-1.0,-4.5,77.0,0.2,100.72,11
2019,11,14,0.0,-4.5,72.0,0.0,100.71,12
2019,11,14,0.9,-5.5,62.0,0.0,100.68,13
2019,11,14,1.2,-5.2,62.0,0.0,100.66,14
2019,11,14,1.5,-5.9,57.0,0.0,100.67,15
2019,11,14,1.2,-5.4,61.0,0.0,100.71,16
2019,11,14,1.1,-4.8,65.0,0.0,100.73,17
2019,11,14,1.1,-4.6,66.0,0.0,100.77,18
2019,11,14,1.0,-4.5,67.0,0.0,100.79,19
2019,11,14,0.8,-4.2,69.0,0.0,100.78,20
2019,11,14,1.1,-5.3,62.0,0.0,100.77,21
2019,11,14,0.9,-5.5,62.0,0.0,100.72,22
2019,11,14,0.8,-5.0,65.0,0.0,100.69,23
2019,11,15,0.9,-5.1,64.0,0.0,100.68,0
2019,11,15,0.9,-4.8,65.0,0.0,100.61,1
2019,11,15,0.9,-4.5,67.0,0.0,100.6,2
2019,11,15,0.8,-5.0,65.0,0.0,100.61,3
2019,11,15,0.7,-5.0,66.0,0.0,100.6,4
2019,11,15,0.9,-4.9,66.0,0.0,100.63,5
2019,11,15,0.7,-4.8,67.0,0.0,100.64,6
2019,11,15,0.5,-4.6,68.0,0.0,100.65,7
2019,11,15,0.6,-4.2,70.0,0.0,100.69,8
2019,11,15,0.7,-4.0,71.0,0.0,100.73,9
2019,11,15,0.8,-3.5,73.0,0.0,100.76,10
2019,11,15,1.1,-3.1,73.0,0.0,100.81,11
2019,11,15,1.9,-2.7,72.0,0.0,100.77,12
2019,11,15,2.6,-3.0,67.0,0.0,100.76,13
2019,11,15,3.2,-3.0,64.0,0.0,100.8,14
2019,11,15,3.9,-2.9,61.0,0.0,100.82,15
2019,11,15,3.3,-2.7,65.0,0.0,100.91,16
2019,11,15,3.4,-3.8,59.0,0.0,101.06,17
2019,11,15,2.9,-4.8,57.0,0.0,101.17,18
2019,11,15,2.5,-6.5,51.0,0.0,101.28,19
2019,11,15,1.1,-4.6,66.0,0.0,101.38,20
2019,11,15,0.2,-7.7,55.0,0.0,101.52,21
2019,11,15,-1.5,-10.2,51.0,0.0,101.63,22
2019,11,15,-2.3,-12.3,46.0,0.0,101.72,23
2019,11,16,-3.9,-13.7,47.0,0.0,101.8,0
2019,11,16,-5.4,-14.6,48.0,0.0,101.84,1
2019,11,16,-6.3,-14.6,52.0,0.0,101.88,2
2019,11,16,-6.8,-14.7,53.0,0.0,101.91,3
2019,11,16,-7.4,-14.8,55.0,0.0,101.95,4
2019,11,16,-7.8,-14.8,57.0,0.0,102.0,5
2019,11,16,-8.1,-15.2,57.0,0.0,102.06,6
2019,11,16,-8.4,-14.8,60.0,0.0,102.12,7
2019,11,16,-8.4,-14.5,61.0,0.0,102.19,8
2019,11,16,-7.5,-13.3,63.0,0.0,102.27,9
2019,11,16,-6.5,-12.1,65.0,0.0,102.28,10
2019,11,16,-5.0,-9.0,74.0,0.0,102.27,11
2019,11,16,-3.8,-7.7,74.0,0.0,102.18,12
2019,11,16,-3.5,-7.3,75.0,0.0,102.09,13
2019,11,16,-3.2,-7.6,72.0,0.0,102.03,14
2019,11,16,-2.9,-7.4,71.0,0.0,101.98,15
2019,11,16,-2.7,-7.2,71.0,0.0,101.96,16
2019,11,16,-2.7,-8.3,66.0,0.0,101.94,17
2019,11,16,-2.4,-8.5,63.0,0.0,101.92,18
2019,11,16,-2.2,-9.5,57.0,0.0,101.89,19
2019,11,16,-3.5,-12.7,49.0,0.0,101.86,20
2019,11,16,-4.0,-12.8,50.0,0.0,101.8,21
2019,11,16,-3.9,-10.9,58.0,0.0,101.71,22
2019,11,16,-3.9,-10.2,61.0,0.0,101.6,23
2019,11,17,-4.3,-10.7,61.0,0.0,101.54,0
2019,11,17,-4.6,-10.6,63.0,0.0,101.48,1
2019,11,17,-4.4,-10.1,64.0,0.0,101.44,2
2019,11,17,-4.3,-9.8,65.0,0.0,101.42,3
2019,11,17,-4.6,-9.9,67.0,0.0,101.36,4
2019,11,17,-4.7,-9.3,70.0,0.0,101.3,5
2019,11,17,-4.3,-8.2,74.0,0.0,101.24,6
2019,11,17,-4.2,-7.9,76.0,0.0,101.2,7
2019,11,17,-3.7,-7.5,75.0,0.0,101.14,8
2019,11,17,-1.8,-7.1,67.0,0.0,101.1,9
2019,11,17,0.3,-6.9,59.0,0.0,101.01,10
2019,11,17,1.3,-9.3,45.0,0.0,100.91,11
2019,11,17,2.0,-8.8,45.0,0.0,100.84,12
2019,11,17,2.3,-8.9,43.0,0.0,100.71,13
2019,11,17,1.5,-8.2,49.0,0.0,100.63,14
2019,11,17,1.8,-7.2,51.0,0.0,100.56,15
2019,11,17,2.0,-6.3,54.0,0.0,100.51,16
2019,11,17,2.0,-5.5,57.0,0.0,100.47,17
2019,11,17,2.4,-4.8,59.0,0.0,100.41,18
2019,11,17,3.2,-3.0,64.0,0.0,100.34,19
2019,11,17,3.8,-2.3,64.0,0.0,100.27,20
2019,11,17,3.7,-1.1,71.0,0.0,100.19,21
2019,11,17,3.9,-1.2,69.0,0.0,100.1,22
2019,11,17,3.8,-0.9,72.0,0.0,100.04,23
2019,11,18,3.7,-0.9,72.0,0.0,100.01,0
2019,11,18,3.6,-0.5,75.0,0.0,99.97,1
2019,11,18,3.7,-0.2,76.0,0.0,99.93,2
2019,11,18,3.6,-0.3,76.0,0.0,99.88,3
2019,11,18,3.7,0.3,78.0,0.0,99.83,4
2019,11,18,3.4,0.3,80.0,0.0,99.82,5
2019,11,18,3.4,0.8,83.0,0.0,99.8,6
2019,11,18,3.3,0.6,83.0,0.0,99.81,7
2019,11,18,2.8,0.2,83.0,0.0,99.79,8
2019,11,18,3.1,0.5,83.0,0.0,99.78,9
2019,11,18,2.7,0.7,87.0,1.1,99.76,10
2019,11,18,2.4,0.8,89.0,1.7,99.67,11
2019,11,18,2.8,1.2,90.0,1.3,99.61,12
2019,11,18,2.5,0.9,89.0,1.1,99.56,13
2019,11,18,2.6,0.9,88.0,0.6,99.51,14
2019,11,18,2.9,1.1,88.0,0.0,99.5,15
2019,11,18,2.9,1.1,88.0,0.0,99.47,16
2019,11,18,3.0,1.2,88.0,0.0,99.44,17
2019,11,18,3.1,1.1,87.0,0.0,99.46,18
2019,11,18,3.2,1.0,85.0,0.0,99.47,19
2019,11,18,3.0,0.8,85.0,0.0,99.46,20
2019,11,18,2.8,0.5,85.0,0.0,99.42,21
2019,11,18,2.6,0.5,86.0,0.0,99.42,22
2019,11,18,2.5,0.4,86.0,0.0,99.46,23
2019,11,19,2.5,0.3,86.0,0.0,99.45,0
2019,11,19,2.5,0.4,86.0,0.0,99.43,1
2019,11,19,2.3,0.2,86.0,0.0,99.43,2
2019,11,19,2.2,0.3,87.0,0.0,99.42,3
2019,11,19,2.0,0.3,88.0,0.0,99.42,4
2019,11,19,1.9,0.0,88.0,0.0,99.45,5
2019,11,19,1.9,-0.3,85.0,0.0,99.48,6
2019,11,19,1.7,-0.7,84.0,0.0,99.53,7
2019,11,19,1.8,-0.8,82.0,0.0,99.59,8
2019,11,19,2.0,-0.5,84.0,0.0,99.62,9
2019,11,19,2.6,-0.2,81.0,0.0,99.64,10
2019,11,19,3.1,0.1,81.0,0.0,99.66,11
2019,11,19,3.7,0.4,79.0,0.0,99.65,12
2019,11,19,3.6,-0.8,73.0,0.0,99.64,13
2019,11,19,4.1,-0.3,73.0,0.0,99.63,14
2019,11,19,4.2,-0.4,72.0,0.0,99.67,15
2019,11,19,3.7,-0.6,74.0,0.0,99.76,16
2019,11,19,3.6,-0.4,75.0,0.0,99.81,17
2019,11,19,3.4,0.4,81.0,0.0,99.87,18
2019,11,19,3.6,0.6,81.0,0.0,99.92,19
2019,11,19,3.9,0.7,80.0,0.0,99.94,20
2019,11,19,3.8,0.7,80.0,0.0,99.98,21
2019,11,19,3.9,0.7,80.0,0.0,99.98,22
2019,11,19,3.9,0.9,80.0,0.0,99.97,23
2019,11,20,3.7,0.8,81.0,0.0,99.99,0
2019,11,20,3.7,1.0,82.0,0.0,100.04,1
2019,11,20,3.8,1.3,84.0,0.0,100.08,2
2019,11,20,3.8,1.2,83.0,0.0,100.14,3
2019,11,20,3.8,1.0,82.0,0.0,100.18,4
